# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 69K of event 'cpu-clock:pppH'
# Event count (approx.): 17286500000
#
# Overhead  Command          Shared Object       Symbol                                                                
# ........  ...............  ..................  ......................................................................
#
     0.03%  DartWorker       [kernel.vmlinux]    [k] __io_fill_cqe_req.isra.0
     0.03%  DartWorker       [kernel.vmlinux]    [k] import_single_range
     0.03%  DartWorker       [kernel.vmlinux]    [k] io_free_batch_list
     0.03%  DartWorker       [kernel.vmlinux]    [k] wake_q_add_safe
     0.03%  DartWorker       benchmark.exe       [.] _ZN8tcmalloc15CentralFreeList11InsertRangeEPvS1_i
     0.03%  DartWorker       benchmark.exe       [.] 0x0000000000312130
     0.03%  DartWorker       benchmark.exe       [.] 0x00000000003407d7
     0.03%  DartWorker       benchmark.exe       [.] 0x000000000054bad0
     0.03%  DartWorker       benchmark.exe       [.] 0x0000000000557914
     0.03%  DartWorker       benchmark.exe       [.] 0x000000000057ec89
     0.03%  DartWorker       libtransport.so     [.] ev_unref@plt
     0.03%  DartWorker       libtransport.so     [.] ipc_value_delete
     0.02%  DartWorker       [kernel.vmlinux]    [k] raw_local_deliver
     0.02%  DartWorker       [kernel.vmlinux]    [k] tcp_event_data_recv
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000361c73
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000039e3ea
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000003d42bc
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000053a6ea
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000057ea9f
     0.02%  DartWorker       [kernel.vmlinux]    [k] futex_get_value_locked
     0.02%  DartWorker       [kernel.vmlinux]    [k] mutex_lock
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000030e950
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000331c10
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000343958
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000546714
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000054c860
     0.02%  DartWorker       libtransport.so     [.] fiber_channel_put_msg_timeout
     0.02%  DartWorker       [kernel.vmlinux]    [k] __x64_sys_io_uring_enter
     0.02%  DartWorker       [kernel.vmlinux]    [k] napi_consume_skb
     0.02%  DartWorker       [kernel.vmlinux]    [k] release_sock
     0.02%  DartWorker       [kernel.vmlinux]    [k] tcp_send_delayed_ack
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000322a50
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000337100
     0.02%  DartWorker       libtransport.so     [.] ev_feed_event@plt
     0.02%  DartWorker       libtransport.so     [.] fiber_is_cancelled
     0.02%  DartWorker       [kernel.vmlinux]    [k] __kmalloc_node_track_caller
     0.02%  DartWorker       [kernel.vmlinux]    [k] __sk_dst_check
     0.02%  DartWorker       [kernel.vmlinux]    [k] cubictcp_cong_avoid
     0.02%  DartWorker       [kernel.vmlinux]    [k] in_lock_functions
     0.02%  DartWorker       [kernel.vmlinux]    [k] security_socket_sendmsg
     0.02%  DartWorker       [kernel.vmlinux]    [k] skb_release_head_state
     0.02%  DartWorker       [kernel.vmlinux]    [k] tcp_rcv_space_adjust
     0.02%  DartWorker       [kernel.vmlinux]    [k] tcp_sendmsg
     0.02%  DartWorker       [kernel.vmlinux]    [k] tcp_update_pacing_rate
     0.02%  DartWorker       [nf_conntrack]      [k] ipv4_conntrack_in
     0.02%  DartWorker       benchmark.exe       [.] 0x00000000003405f3
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000039fe80
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000532af8
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000532b30
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000057d952
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000057e860
     0.02%  DartWorker       libtransport.so     [.] transport_channel_send
     0.02%  DartWorker       [kernel.vmlinux]    [k] __tcp_select_window
     0.02%  DartWorker       [kernel.vmlinux]    [k] _copy_from_iter
     0.02%  DartWorker       [kernel.vmlinux]    [k] eth_type_trans
     0.02%  DartWorker       [kernel.vmlinux]    [k] ip_finish_output
     0.02%  DartWorker       [kernel.vmlinux]    [k] ipv4_dst_check
     0.02%  DartWorker       [kernel.vmlinux]    [k] kmem_cache_free
     0.02%  DartWorker       [kernel.vmlinux]    [k] sk_filter_trim_cap
     0.02%  DartWorker       [kernel.vmlinux]    [k] skb_page_frag_refill
     0.02%  DartWorker       [kernel.vmlinux]    [k] wake_up_q
     0.02%  DartWorker       [nf_tables]         [k] nft_meta_get_eval
     0.02%  DartWorker       benchmark.exe       [.] 0x0000000000329be0
